,name,address,no_available,dock_bikes,lat_destino,long_destino,Posicion_destino
113,Paseo de Moret,Paseo de Moret nº 11,0,13,40.4325991,-3.7246532,POINT (4500936.343260571 -414918.8397121918)
114,Pintor Rosales,Paseo del Pintor Rosales frente al nº 38,0,12,40.427657,-3.7205129,POINT (4500386.191205122 -414456.9691261234)
115,Quintana,Calle Quintana nº 11,0,10,40.4277456,-3.7174158,POINT (4500396.054112006 -414111.4739888796)
116,Ferraz,Calle Evaristo San Miguel nº 2,0,13,40.4253944,-3.7170448,POINT (4500134.319725253 -414070.087387282)
117,Plaza de España A,Calle Princesa nº 5,1,0,40.42402,-3.711603,POINT (4499981.322217106 -413463.0338381871)
118,Plaza de España B,Calle Princesa nº 5,1,0,40.42412,-3.711703,POINT (4499992.454166186 -413474.1891859107)
119,Altamirano,Calle Altamirano nº 24,0,13,40.4309797,-3.7188898,POINT (4500756.072477181 -414275.9050254758)
120,Juan Martín,Calle Juan Martín el Empecinado nº 16,0,6,40.400781,-3.6882407,POINT (4497394.368570562 -410856.9225789591)
121,Méndez Álvaro,Calle Méndez Álvaro nº 11,0,15,40.4013216,-3.6863218,POINT (4497454.547887285 -410642.8684987454)
122,Palos de la Frontera,Calle Palos de la Frontera nº 27,0,11,40.4032208,-3.6944768,POINT (4497665.965864199 -411552.5652782198)
123,Santa María de la Cabeza,Paseo de Santa María de la Cabeza nº 58,0,16,40.4017926,-3.6987665,POINT (4497506.979367448 -412031.0881022502)
124,Santa Engracia 14,Calle Santa Engracia nº 14,0,9,40.4291992,-3.6967169,POINT (4500557.868123823 -411802.4516897136)
125,Guzmán el Bueno,Calle Guzmán el Bueno nº 1,0,9,40.4306458,-3.7133412,POINT (4500718.902899205 -413656.93627218)
126,Paseo de la Florida,Paseo de la Florida nº 8,0,11,40.4219665,-3.7224983,POINT (4499752.727642763 -414678.4498738055)
127,Metro Pirámides,Paseo de los Olmos nº 28,0,13,40.4034076,-3.7108108,POINT (4497686.76034508 -413374.6612181486)
128,Paseo de la Esperanza,Paseo de la Esperanza nº 2,0,6,40.4035988,-3.7064516,POINT (4497708.044631719 -412888.3789631003)
129,Entrada Matadero,Paseo de la Chopera nº 14,0,19,40.3928821,-3.6975708,POINT (4496515.067044735 -411897.7056421987)
130,Paseo de las Delicias,Paseo de las Delicias nº 92,0,14,40.3972616,-3.6945025,POINT (4497002.590754665 -411555.4321470031)
131,Castellana 164,Paseo de la Castellana nº 164,0,19,40.4591366,-3.6894151,POINT (4503890.484247498 -410987.9276074668)
132,Alberto Alcocer,Avenida de Alberto Alcocer nº 22,0,10,40.4585318,-3.684715,POINT (4503823.158219466 -410463.6296565536)
133,San Germán 57,Calle San Germán nº 57,0,13,40.4572824,-3.7009675,POINT (4503684.075647669 -412276.6140344901)
134,Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,0,13,40.4592351,-3.691533,POINT (4503901.449217341 -411224.1810679014)
135,Orense 36,Calle Orense nº 36,0,11,40.4548456,-3.6946218,POINT (4503412.812312503 -411568.7402199105)
136,General Perón 1,Avenida del General Perón frente al nº 4,0,7,40.4527164,-3.6990077,POINT (4503175.790852707 -412057.9944127315)
137,General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36,0,18,40.4522454,-3.693085,POINT (4503123.359372543 -411397.3082826828)
138,Serrano 210,Calle Serrano nº 210,0,9,40.4510188,-3.6817962,POINT (4502986.814885137 -410138.0377956034)
139,Orense 12,Calle Orense nº 12,0,13,40.4489101,-3.6952943,POINT (4502752.0754749 -411643.7585185199)
140,Paseo de la Habana 42,Paseo de la Habana nº 42,0,10,40.4498613,-3.6881689,POINT (4502857.962574543 -410848.9132512583)
141,Castellana frente a Hermanos Pinzón,Paseo de la Castellana nº 122,0,13,40.4488924,-3.6905604,POINT (4502750.105119913 -411115.6866801831)
142,Doctor Arce 45,Avenida del Doctor Arce nº 45,0,9,40.4483269,-3.6797296,POINT (4502687.153947869 -409907.509408599)
143,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,0,3,40.4463667,-3.7036675,POINT (4502468.945482017 -412577.8052435284)
144,Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,0,9,40.447125,-3.7001669,POINT (4502553.359051885 -412187.3054398999)
145,Castellana 106,Paseo de la Castellana nº 106,0,19,40.4453307,-3.690861,POINT (4502353.618489555 -411149.2188625906)
146,Plaza de la República Argentina,Plaza de la República Argentina nº 6,0,12,40.445411,-3.6853312,POINT (4502362.557444666 -410532.3668441691)
147,Agustín de Betancourt,Calle María de Guzmán nº 58,0,5,40.4440297,-3.6956047,POINT (4502208.791832034 -411678.384084004)
148,Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,0,12,40.4457414,-3.6917932,POINT (4502399.337404424 -411253.2066275122)
149,María Francisca 1,Calle María Francisca nº 1,0,2,40.4442258,-3.6787169,POINT (4502230.621584177 -409794.5433319399)
150,Bravo Murillo 44,Calle Bravo Murillo nº 44,0,10,40.4418402,-3.7040344,POINT (4501965.057806942 -412618.7338531604)
151,Santa Engracia 127,Calle Santa Engracia nº 127,0,6,40.44156,-3.70164,POINT (4501933.866085621 -412351.6328701174)
152,Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,0,11,40.4415974,-3.6927821,POINT (4501938.029434577 -411363.5194487612)
153,José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2,0,12,40.4396792,-3.6907784,POINT (4501724.496387337 -411140.0047621027)
154,Cea Bermúdez,Calle Cea Bermúdez nº 59,0,1,40.438994,-3.7154329,POINT (4501648.220272245 -413890.2734031079)
155,José Abascal,Calle José Abascal nº 33,0,11,40.4383865,-3.6982353,POINT (4501580.593681588 -411971.8317759682)
156,Velázquez 130,Calle Velázquez nº 130,0,17,40.4385127,-3.6831578,POINT (4501594.642201326 -410289.9240125618)
157,General Álvarez de Castro,Calle del General Álvarez de Castro nº 1,0,15,40.4344731,-3.7015686,POINT (4501144.955986317 -412343.6680423389)
158,General Martínez Campos ,Calle Fernández de la Hoz nº 29,0,0,40.435285,-3.6948626,POINT (4501235.336280893 -411595.6017840897)
159,Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43,0,4,40.4355143,-3.6892368,POINT (4501260.861840132 -410968.0381237527)
160,Diego de León 52,Calle Diego de León nº 52,0,13,40.4345973,-3.678492,POINT (4501158.781867075 -409769.4558894613)
161,Castellana 42,Paseo de la Castellana nº 42,0,8,40.4334087,-3.6879154,POINT (4501026.467520318 -410820.635198324)
162,Fernando el Católico,Calle Fernando el Católico nº 19,0,18,40.4338516,-3.708439,POINT (4501075.770922789 -413110.0792881895)
163,Manuel Silvela,Calle Manuel Silvela nº 20,0,10,40.4309524,-3.6993465,POINT (4500753.033455082 -412095.7881978624)
164,Juan Bravo 50,Calle Juan Bravo nº 50,0,6,40.4323655,-3.6758555,POINT (4500910.339027523 -409475.3565744966)
165,Ortega y Gasset 87,Calle Ortega y Gasset nº 87,0,16,40.429887,-3.6712823,POINT (4500634.433669591 -408965.2220963005)
166,Colombia,Calle Colombia nº 7,0,2,40.4572466,-3.6763439,POINT (4503680.090409898 -409529.8371102056)
167,Paseo de la Habana 63,Paseo de la Habana nº 63,0,8,40.4543852,-3.6835926,POINT (4503361.560818942 -410338.4259175063)
168,Segovia 26,Calle Segovia nº 26,0,8,40.4138333,-3.7135833,POINT (4498847.343960243 -413683.9434243567)
169,Segovia 45,Calle Segovia nº 45,0,11,40.413736,-3.717487,POINT (4498836.512573789 -414119.4166486436)
170,Batalla del Salado,Paseo Santa María de la Cabeza nº 29,0,9,40.4044722,-3.6959166,POINT (4497805.271074978 -411713.1769888426)
171,Pirámides,Calle Toledo nº 181,0,8,40.4016111,-3.7138055,POINT (4497486.774879869 -413708.7306643059)
172,Paseo de la Esperanza,Paseo de la Esperanza nº 21,0,16,40.401,-3.7043611,POINT (4497418.747539046 -412655.1780668597)
173,Embajadores-Cáceres,Calle Embajadores nº 101,0,14,40.39975,-3.6983888,POINT (4497279.598175554 -411988.9549765445)
174,Delicias,Calle Bustamante nº 1,0,6,40.4008888,-3.6935833,POINT (4497406.368811669 -411452.8942303291)
175,Puente Praga,Paseo de la Esperanza nº 59,0,4,40.3981798,-3.7023918,POINT (4497104.804311111 -412435.4978604175)
176,Madrid Río-Yeserías,Paseo de Yeserías nº 45,0,7,40.3974444,-3.7065277,POINT (4497022.939957581 -412896.8681331253)
177,Jaime el Conquistador,Calle Jaime el Conquistador nº 30,0,12,40.3962222,-3.6983055,POINT (4496886.885275933 -411979.6627116296)
178,Beata,Calle Alicante nº 3,0,16,40.39425,-3.6937222,POINT (4496667.340976191 -411468.3886933023)
179,Legazpi,Calle Bolívar nº 3,0,12,40.3914722,-3.6941944,POINT (4496358.117694666 -411521.0631924721)
180,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,0,5,40.4029202,-3.6788343,POINT (4497632.503225266 -409807.639224837)
181,Puente de Vallecas,Avenida de la Albufera nº 6,0,10,40.3979722,-3.66925,POINT (4497081.694384822 -408738.5225282516)
182,Méndez Álvaro,Calle Retama nº 5,0,8,40.3941388,-3.6758888,POINT (4496654.962248815 -409479.0711555289)
183,Retiro-Ibiza,Calle Ibiza nº 18,0,18,40.41825,-3.6766111,POINT (4499339.008755229 -409559.6430178803)
184,Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,0,5,40.4186666,-3.6657777,POINT (4499385.384455094 -408351.1946310046)
185,Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135,0,2,40.425635,-3.669339,POINT (4500161.103194738 -408748.4503143113)
186,Marqués de Zafra,Paseo Marqués de Zafra nº 24,0,7,40.426,-3.6653055,POINT (4500201.734808877 -408298.5218119443)
187,Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,0,9,40.4250833,-3.6615277,POINT (4500099.688231667 -407877.1179508124)
188,General Pardiñas,Calle General Pardiñas nº 56,0,5,40.4290555,-3.6782777,POINT (4500541.871512996 -409745.550875684)
